sample_id,raw_input,normalized_degree_part,canonical_degree,canonical_field,degree_level,degree_short_code,split_pattern,expected_layer,expected_status,gold_confidence,training_use,source
L1-00015,CBSE 10th (Hons),cbse 10th,10th Standard,,SCHOOL,10TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00016,SSC,ssc,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00017,x,x,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00018,Matric,matric,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00019,10TH STANDARD,10th standard,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00020,matriculation,matriculation,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00021,CBSE 10TH,cbse 10th,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00022,MATRICULATION,matriculation,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00023,Matriculation Hons,matriculation,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00024,10thStandard,10thstandard,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00025,10th standard,10th standard,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00026,Matric (Hons),matric,10th Standard,,SCHOOL,10TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00027,CBSE 10th,cbse 10th,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00028,MATRIC,matric,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00029,CBSE 10th Hons,cbse 10th,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00030,X Hons,x,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00031,10th Standard Hons,10th standard,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00032,12th Standard,12th standard,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00033,12TH,12th,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00034,XII Hons,xii,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00035,+2,+2,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00036,10+2 (Hons),10+2,12th Standard,,SCHOOL,12TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00037,+2 Hons,+2,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00038,XII,xii,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00039,isc,isc,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00040,plus two,plus two,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00041,12th Standard (Hons),12th standard,12th Standard,,SCHOOL,12TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00042,12th Standard Hons,12th standard,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00043,ISC,isc,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00044,HSC Hons,hsc,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00045,12th standard,12th standard,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00046,cbse 12th,cbse 12th,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00047,XII (Hons),xii,12th Standard,,SCHOOL,12TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00048,PlusTwo,plustwo,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00049,CBSE 12th Hons,cbse 12th,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00050,+2 (Hons),+2,12th Standard,,SCHOOL,12TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00051,12TH STANDARD,12th standard,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00052,HSC (Hons),hsc,12th Standard,,SCHOOL,12TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00053,12thStandard,12thstandard,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00054,Plus Two (Hons),plus two,12th Standard,,SCHOOL,12TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00055,10+2 Hons,10+2,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00056,CBSE 12th,cbse 12th,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00057,10+2,10+2,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00058,CBSE 12TH,cbse 12th,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00059,ISC Hons,isc,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00060,PLUS TWO,plus two,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00061,Plus Two Hons,plus two,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00062,HSC,hsc,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00063,Plus Two,plus two,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00064,CBSE12th,cbse12th,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00065,CBSE 12th (Hons),cbse 12th,12th Standard,,SCHOOL,12TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00066,hsc,hsc,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00067,ISC (Hons),isc,12th Standard,,SCHOOL,12TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00068,xii,xii,12th Standard,,SCHOOL,12TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00069,Bachelor of Arts,bachelor of arts,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00070,BA,ba,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00071,BA (Hons),ba,Bachelor of Arts,,UG SCIENCE,BA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00072,B. A. (Hons),b a,Bachelor of Arts,,UG SCIENCE,BA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00073,bachelor of arts,bachelor of arts,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00074,b.a.,ba,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00075,BA Hons Hons,ba,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00076,B A,b a,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00077,BA Hons,ba,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00078,BachelorofArts,bachelorofarts,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00079,B.A. (Hons),ba,Bachelor of Arts,,UG SCIENCE,BA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00080,BA HONS,ba,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00081,B. A. Hons,b a,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00082,BACHELOR OF ARTS,bachelor of arts,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00083,B. A.,b a,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00084,ba hons,ba,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00085,ba,ba,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00086,B.A.,ba,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00087,BA Hons (Hons),ba,Bachelor of Arts,,UG SCIENCE,BA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00088,B.A. Hons,ba,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00089,Bachelor of Arts Hons,bachelor of arts,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00090,b. a.,b a,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00091,Bachelor of Arts (Hons),bachelor of arts,Bachelor of Arts,,UG SCIENCE,BA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00092,BAHons,bahons,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00093,B  A,b a,Bachelor of Arts,,UG SCIENCE,BA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00094,Bachelor of Business Administration,bachelor of business administration,Bachelor of Business Administration,,UG SCIENCE,BBA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00095,BBA,bba,Bachelor of Business Administration,,UG SCIENCE,BBA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00096,B. Sc - Banking and Finance,b sc,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00097,B.Sc - Finance,bsc,Bachelor of Business Administration,Finance,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00098,BSc Hons / Human Resources Management,bsc,Bachelor of Business Administration,Human Resources Management,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00099,BSC in Banking and Finance,bsc,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00100,BSc (Human Resources Management),bsc,Bachelor of Business Administration,Human Resources Management,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00101,BSc (Banking and Finance),bsc,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00102,Bachelor of Business Administration / Operations Management,bachelor of business administration,Bachelor of Business Administration,Operations Management,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00103,BSc - International Business,bsc,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00104,"BSC, Entrepreneurship",bsc,Bachelor of Business Administration,Entrepreneurship,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00105,BSc (Commerce),bsc,Bachelor of Business Administration,Commerce,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00106,Bachelor of Business Administration (Banking and Finance),bachelor of business administration,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00107,BSc in Accounting,bsc,Bachelor of Business Administration,Accounting,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00108,B.Sc. in Business Administration,bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00109,BSC - Operations Management,bsc,Bachelor of Business Administration,Operations Management,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00110,"BSc Hons, Commerce",bsc,Bachelor of Business Administration,Commerce,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00111,Bachelor of Business Administration in Commerce,bachelor of business administration,Bachelor of Business Administration,Commerce,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00112,Bachelor of Business Administration (Finance),bachelor of business administration,Bachelor of Business Administration,Finance,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00113,B.Sc. (Business Administration),bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00114,BSC (Business Administration),bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00115,B.Sc / Business Administration,bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00116,B.Sc (Human Resources Management),bsc,Bachelor of Business Administration,Human Resources Management,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00117,Bachelor of Business Administration in Banking and Finance,bachelor of business administration,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00118,BSc - Business Administration,bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00119,B.B.A.,bba,Bachelor of Business Administration,,UG SCIENCE,BBA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00120,BSC (Human Resources Management),bsc,Bachelor of Business Administration,Human Resources Management,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00121,"B.Sc, Business Administration",bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00122,BSc / Business Administration,bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00123,"BSc Hons, Accounting",bsc,Bachelor of Business Administration,Accounting,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00124,B. Sc (International Business),b sc,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00125,"BSC, International Business",bsc,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00126,"BSc Hons, Business Administration",bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00127,BSC / Business Administration,bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00128,Bachelor of Business Administration / Banking and Finance,bachelor of business administration,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00129,BSC in Human Resources Management,bsc,Bachelor of Business Administration,Human Resources Management,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00130,"BSc, Operations Management",bsc,Bachelor of Business Administration,Operations Management,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00131,BSc - Marketing,bsc,Bachelor of Business Administration,Marketing,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00132,B. Sc (Commerce),b sc,Bachelor of Business Administration,Commerce,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00133,B.Sc (Business Administration),bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00134,B.Sc - International Business,bsc,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00135,B.Sc. - Accounting,bsc,Bachelor of Business Administration,Accounting,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00136,B.B.A. Hons,bba,Bachelor of Business Administration,,UG SCIENCE,BBA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00137,B.Sc in Business Administration,bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00138,Bachelor of Business Administration - Business Administration,bachelor of business administration,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00139,BSc - Operations Management,bsc,Bachelor of Business Administration,Operations Management,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00140,BSC - International Business,bsc,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00141,B. Sc (Entrepreneurship),b sc,Bachelor of Business Administration,Entrepreneurship,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00142,bachelor of business administration,bachelor of business administration,Bachelor of Business Administration,,UG SCIENCE,BBA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00143,B.Sc (Banking and Finance),bsc,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00144,Bachelor of Business Administration (International Business),bachelor of business administration,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00145,BSc Hons - International Business,bsc,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00146,B.Sc / Entrepreneurship,bsc,Bachelor of Business Administration,Entrepreneurship,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00147,"B. Sc, International Business",b sc,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00148,Bachelor of Business Administration in International Business,bachelor of business administration,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00149,"Bachelor of Business Administration, International Business",bachelor of business administration,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00150,BSc Hons - Operations Management,bsc,Bachelor of Business Administration,Operations Management,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00151,"B.Sc., Human Resources Management",bsc,Bachelor of Business Administration,Human Resources Management,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00152,Bachelor of Business Administration (Commerce),bachelor of business administration,Bachelor of Business Administration,Commerce,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00153,Bachelor of Business Administration (Entrepreneurship),bachelor of business administration,Bachelor of Business Administration,Entrepreneurship,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00154,BSc - Banking and Finance,bsc,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00155,B. Sc / International Business,b sc,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00156,"B.Sc., Business Administration",bsc,Bachelor of Business Administration,Business Administration,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00157,BSc Hons in Banking and Finance,bsc,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00158,B.Sc. / International Business,bsc,Bachelor of Business Administration,International Business,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00159,BSC - Human Resources Management,bsc,Bachelor of Business Administration,Human Resources Management,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00160,B.Sc / Banking and Finance,bsc,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00161,BSc in Banking and Finance,bsc,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00162,B.Sc (Entrepreneurship),bsc,Bachelor of Business Administration,Entrepreneurship,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00163,B B A,b b a,Bachelor of Business Administration,,UG SCIENCE,BBA,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00164,B.Sc / Commerce,bsc,Bachelor of Business Administration,Commerce,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00165,B.Sc - Marketing,bsc,Bachelor of Business Administration,Marketing,UG SCIENCE,BBA,dash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00166,Bachelor of Business Administration / Entrepreneurship,bachelor of business administration,Bachelor of Business Administration,Entrepreneurship,UG SCIENCE,BBA,slash,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00167,BSc in Marketing,bsc,Bachelor of Business Administration,Marketing,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00168,"BSc, Marketing",bsc,Bachelor of Business Administration,Marketing,UG SCIENCE,BBA,comma,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00169,B.Sc (Marketing),bsc,Bachelor of Business Administration,Marketing,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00170,BSc Hons (Human Resources Management),bsc,Bachelor of Business Administration,Human Resources Management,UG SCIENCE,BBA,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00171,B.Sc. in Banking and Finance,bsc,Bachelor of Business Administration,Banking and Finance,UG SCIENCE,BBA,in,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
