sample_id,raw_input,gold_clean_alias,canonical_degree,canonical_field,degree_level,noise_type,difficulty,expected_layer,expected_status,expected_min_confidence,training_use,source
L2-00035,Mat,Matric,10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00018
L2-00036,10TH STNDARD,10TH STANDARD,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00019
L2-00037,10HT STANDARD,10TH STANDARD,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00019
L2-00038,10TH STAN,10TH STANDARD,10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00019
L2-00039,matrculation,matriculation,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00020
L2-00040,mtariculation,matriculation,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00020
L2-00041,matricu1ation,matriculation,10th Standard,,SCHOOL,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00020
L2-00042,CBS 10TH,CBSE 10TH,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00021
L2-00043,CSBE 10TH,CBSE 10TH,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00021
L2-00044,MATRCULATION,MATRICULATION,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00022
L2-00045,MTARICULATION,MATRICULATION,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00022
L2-00046,Matrculation Hons,Matriculation Hons,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00023
L2-00047,Mtariculation Hons,Matriculation Hons,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00023
L2-00048,Matricu1ation Hons,Matriculation Hons,10th Standard,,SCHOOL,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00023
L2-00049,10thStndard,10thStandard,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00024
L2-00050,10htStandard,10thStandard,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00024
L2-00051,10thSt,10thStandard,10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00024
L2-00052,10th stndard,10th standard,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00025
L2-00053,10ht standard,10th standard,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00025
L2-00054,10th stan,10th standard,10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00025
L2-00055,Matrc (Hons),Matric (Hons),10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00026
L2-00056,Mtaric (Hons),Matric (Hons),10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00026
L2-00057,Matric (Ho,Matric (Hons),10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00026
L2-00058,CBS 10th,CBSE 10th,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00027
L2-00059,CSBE 10th,CBSE 10th,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00027
L2-00060,MATRC,MATRIC,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00028
L2-00061,MTARIC,MATRIC,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00028
L2-00062,MAT,MATRIC,10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00028
L2-00063,CBS 10th Hons,CBSE 10th Hons,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00029
L2-00064,CSBE 10th Hons,CBSE 10th Hons,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00029
L2-00065,X Hns,X Hons,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00030
L2-00066,X oHns,X Hons,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00030
L2-00067,10th Stndard Hons,10th Standard Hons,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00031
L2-00068,10ht Standard Hons,10th Standard Hons,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00031
L2-00069,10th Stan Hons,10th Standard Hons,10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00031
L2-00070,12th Stndard,12th Standard,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00032
L2-00071,12ht Standard,12th Standard,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00032
L2-00072,12th Stan,12th Standard,12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00032
L2-00073,XI Hons,XII Hons,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00034
L2-00074,10+2 (Ho,10+2 (Hons),12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00036
L2-00075,+2 Hns,+2 Hons,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00037
L2-00076,+2 oHns,+2 Hons,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00037
L2-00077,pls two,plus two,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00040
L2-00078,puls two,plus two,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00040
L2-00079,p1us two,plus two,12th Standard,,SCHOOL,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00040
L2-00080,12th Stndard (Hons),12th Standard (Hons),12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00041
L2-00081,12ht Standard (Hons),12th Standard (Hons),12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00041
L2-00082,12th Standard (Ho,12th Standard (Hons),12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00041
L2-00083,12th Stndard Hons,12th Standard Hons,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00042
L2-00084,12ht Standard Hons,12th Standard Hons,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00042
L2-00085,12th Stan Hons,12th Standard Hons,12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00042
L2-00086,HSC Hns,HSC Hons,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00044
L2-00087,HCS Hons,HSC Hons,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00044
L2-00088,12th stndard,12th standard,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00045
L2-00089,12ht standard,12th standard,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00045
L2-00090,12th stan,12th standard,12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00045
L2-00091,cbs 12th,cbse 12th,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00046
L2-00092,csbe 12th,cbse 12th,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00046
L2-00093,XI (Hons),XII (Hons),12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00047
L2-00094,XII (Ho,XII (Hons),12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00047
L2-00095,PlsTwo,PlusTwo,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00048
L2-00096,PulsTwo,PlusTwo,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00048
L2-00097,P1usTwo,PlusTwo,12th Standard,,SCHOOL,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00048
L2-00098,Plu,PlusTwo,12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00048
L2-00099,CBS 12th Hons,CBSE 12th Hons,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00049
L2-00100,CSBE 12th Hons,CBSE 12th Hons,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00049
L2-00101,+2 (Ho,+2 (Hons),12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00050
L2-00102,12TH STNDARD,12TH STANDARD,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00051
L2-00103,12HT STANDARD,12TH STANDARD,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00051
L2-00104,12TH STAN,12TH STANDARD,12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00051
L2-00105,HCS (Hons),HSC (Hons),12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00052
L2-00106,HSC (Ho,HSC (Hons),12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00052
L2-00107,12thStndard,12thStandard,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00053
L2-00108,12htStandard,12thStandard,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00053
L2-00109,12thSt,12thStandard,12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00053
L2-00110,Pls Two (Hons),Plus Two (Hons),12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00054
L2-00111,Puls Two (Hons),Plus Two (Hons),12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00054
L2-00112,P1us Two (Hons),Plus Two (Hons),12th Standard,,SCHOOL,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00054
L2-00113,Plus Two (Ho,Plus Two (Hons),12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00054
L2-00114,10+2 Hns,10+2 Hons,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00055
L2-00115,10+2 oHns,10+2 Hons,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00055
L2-00116,CBS 12th,CBSE 12th,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00056
L2-00117,CSBE 12th,CBSE 12th,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00056
L2-00118,CBS 12TH,CBSE 12TH,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00058
L2-00119,CSBE 12TH,CBSE 12TH,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00058
L2-00120,ISC Hns,ISC Hons,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00059
L2-00121,ICS Hons,ISC Hons,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00059
L2-00122,PLS TWO,PLUS TWO,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00060
L2-00123,PULS TWO,PLUS TWO,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00060
L2-00124,Pls Two Hons,Plus Two Hons,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00061
L2-00125,Puls Two Hons,Plus Two Hons,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00061
L2-00126,P1us Two Hons,Plus Two Hons,12th Standard,,SCHOOL,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00061
L2-00127,Pls Two,Plus Two,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00063
L2-00128,Puls Two,Plus Two,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00063
L2-00129,P1us Two,Plus Two,12th Standard,,SCHOOL,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00063
L2-00130,CBS12th,CBSE12th,12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00064
L2-00131,CSBE12th,CBSE12th,12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00064
L2-00133,CBS 12th (Hons),CBSE 12th (Hons),12th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00065
L2-00134,CSBE 12th (Hons),CBSE 12th (Hons),12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00065
L2-00135,CBSE 12th (Ho,CBSE 12th (Hons),12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00065
L2-00136,ICS (Hons),ISC (Hons),12th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00067
L2-00137,ISC (Ho,ISC (Hons),12th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00067
L2-00138,Bachlor of Arts,Bachelor of Arts,Bachelor of Arts,,UG SCIENCE,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00069
L2-00139,Bcahelor of Arts,Bachelor of Arts,Bachelor of Arts,,UG SCIENCE,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00069
L2-00140,Bache1or of Arts,Bachelor of Arts,Bachelor of Arts,,UG SCIENCE,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00069
L2-00141,BA (Ho,BA (Hons),Bachelor of Arts,,UG SCIENCE,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00071
L2-00143,B. A. (Ho,B. A. (Hons),Bachelor of Arts,,UG SCIENCE,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00072
L2-00144,bachlor of arts,bachelor of arts,Bachelor of Arts,,UG SCIENCE,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00073
L2-00145,bcahelor of arts,bachelor of arts,Bachelor of Arts,,UG SCIENCE,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00073
L2-00146,Bache1or of arts,bachelor of arts,Bachelor of Arts,,UG SCIENCE,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00073
L2-00148,BA Hns Hons,BA Hons Hons,Bachelor of Arts,,UG SCIENCE,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00075
L2-00149,BA oHns Hons,BA Hons Hons,Bachelor of Arts,,UG SCIENCE,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00075
L2-00150,BA Hns,BA Hons,Bachelor of Arts,,UG SCIENCE,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00077
L2-00151,BA oHns,BA Hons,Bachelor of Arts,,UG SCIENCE,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00077
L2-00152,BachlorofArts,BachelorofArts,Bachelor of Arts,,UG SCIENCE,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00078
L2-00153,BcahelorofArts,BachelorofArts,Bachelor of Arts,,UG SCIENCE,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00078
L2-00154,Bache1orofArts,BachelorofArts,Bachelor of Arts,,UG SCIENCE,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00078
L2-00155,Bachelo,BachelorofArts,Bachelor of Arts,,UG SCIENCE,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00078
L2-00157,B.A. (Ho,B.A. (Hons),Bachelor of Arts,,UG SCIENCE,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00079
L2-00158,BA HNS,BA HONS,Bachelor of Arts,,UG SCIENCE,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00080
L2-00159,BA OHNS,BA HONS,Bachelor of Arts,,UG SCIENCE,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00080
L2-00161,B. A. oHns,B. A. Hons,Bachelor of Arts,,UG SCIENCE,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00081
L2-00162,BACHLOR OF ARTS,BACHELOR OF ARTS,Bachelor of Arts,,UG SCIENCE,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00082
L2-00163,BCAHELOR OF ARTS,BACHELOR OF ARTS,Bachelor of Arts,,UG SCIENCE,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00082
L2-00164,Bache1or OF ARTS,BACHELOR OF ARTS,Bachelor of Arts,,UG SCIENCE,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00082
L2-00166,ba hns,ba hons,Bachelor of Arts,,UG SCIENCE,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00084
L2-00167,ba ohns,ba hons,Bachelor of Arts,,UG SCIENCE,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00084
L2-00169,BA Hns (Hons),BA Hons (Hons),Bachelor of Arts,,UG SCIENCE,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00087
